nDocumento,documento,topico
41,virginamerica use anoth browser 2015 amp brand reput built tech respons doesnt crossbrows compat websit,5
42,virginamerica flight flight book problem site total folk problem,5
43,virginamerica like custom servic 40 min delay connect passeng seem long va370,14
44,virginamerica need chang flight that schedul 9 hour 120 min wait time phone im call intern help,6
45,virginamerica fail custom check process link tsa precheck,5
46,virginamerica fidifamili us terribl airlin gave us hotel hotlin number said sorri,2
47,virginamerica chrysichrys assist yesterday u cancel flightl flight give us hotel hotlin shame,11
48,virginamerica anoth delay flight likingyoulessandless,0
49,virginamerica need regist servic dog first class ticket sfo gt dull phone queue hour longer pl advis,0
50,virginamerica cant book seat flight buy even check creat much anxieti frustrat,0
51,virginamerica youd think pay extra 100 buck rt luggag might afford hire extra hand sfo lame,7
52,virginamerica pleas provid statu flight 769 cant imagin time web indic dude weather andor dalla,0
53,virginamerica paid premium fli across countri cancel flight flight offer check fee upgrad love sad face,17
54,virginamerica question possibl book seat infant 2 give option want seat,6
55,virginamerica dont understand need dm give answer damag luggag polici,12
56,virginamerica mean dont polici destroy luggag,19
57,virginamerica problem flight book problem web site keep give error contact phone phone 30 minut wait,8
58,virginamerica reschedul cancel flightl flight onlin chang button grey,0
59,virginamerica rang wait 35 minut book ticket vendor fix site,5
60,virginamerica got flight told 450 todaycheck email 450 tomorrow unaccept,6
61,virginamerica flight lga cancel flight stuck dalla call reschedul told could get flight today12,0
62,virginamerica dont pair includ red wine white offer redwineisbett,11
63,virginamerica websit,1
64,virginamerica site seem littl wonk right may want look tri two browser css,19
65,virginamerica im disappoint agent design silver statu check line dulles_airport close assist paseng,2
66,virginamerica normal receiv repli central baggag baggageissu smh,11
67,virginamerica logan airport wait checkin 9am flight checkin desk open,17
68,virginamerica congrat got busi ewr sfolax fuck unit fl1289 sfoewr clincher,16
69,virginamerica appli 2 week ago havent heard back im fli week disappoint,6
70,virginamerica mani apolog r wors airlin dont even respond cudtom,17
71,virginamerica shame va make peopl spend money strand citi airlin land jfk reimburs,0
72,virginamerica bad say take 10 14 day via confirm email inquir 3 week claim 6 8 week,15
73,virginamerica flight bo gt la tomorrow cancel flightl notif wait time 1 hour rebook anoth airlin,0
74,virginamerica lot apolog thrown custom seeveri sad thank noth worst airlin ever,5
75,virginamerica flight stuff wrong noth worst flight ever,5
76,virginamerica tri book flight guy websit wont let lose busi,6
77,virginamerica suck,5
78,virginamerica dmd issu persist,19
79,virginamerica never recd cancel flightlat notic left w option fli ps drive la red eye mon w kid,11
80,virginamerica tri book flight amp site,6
81,virginamerica flight fli boston tomorrow need home cancel flightl flight didnt anyth,0
82,virginamerica stink flight cancel flight psp jfk notif abil rebook disappoint expect better,5
83,virginamerica websit im tri check,6
84,virginamerica seat row 8 dont reclin mention websit soreback,17
85,virginamerica flight 404 delay 2 hour la due mechan problem handl like pro could toss us free drink,18
86,virginamerica cancel flight flight today precipit scare,6
87,virginamerica guy charg 100 reschedul flight cancel flight refus refund what deal,6
88,virginamerica cant access websit safari iphon 6 seem work mac ipad need iphon add passbook,11
89,virginamerica mobil site broken show headerelevateusernumofpointsavail 0 number point wont let checkin,3
90,virginamerica realli look forward flight let know reschedul diehardvirgin,17
91,virginamerica cancel flight flight vx413 one sec delay airport next cancel flightledgonna email call reschedul,0
92,virginamerica problem link email checkin thank,5
93,virginamerica chang anoth airlin get dc today unit abl land dc cost 800 ugh,3
94,virginamerica look forward first flight today cancel flightl along subsequ one,0
95,virginamerica gon na deal dalla dc deal dc dalla sad,3
96,virginamerica hold time call center bit much,11
97,virginamerica site help,5
98,virginamerica tri reset password email never arriv help,3
99,virginamerica reason delay departur vx 413 jfk afternoon,18
100,virginamerica today flight palm spring ca jfk ny cancel flightl,1
101,virginamerica css site 404 right pleas fix site unus,5
102,virginamerica flight 910 vega boston today check onlin bag count didnt regist fix somehow,5
103,virginamerica hi im tri checkin websit work tri 3 differ browser problem continu,2
104,virginamerica passeng 7d flt 338 assault shouldnt flown trust he ban crew file report faanew,10
105,virginamerica current bug websit show select departur citi select destin citi,1
106,virginamerica luggag sever dentedmiss wheel come baggag claim san luggag agent miranda think wasnt help,8
107,virginamerica request window seat confirm window got stuck middl seat good way treat silver member,13
108,virginamerica wtf paid direct flight purpos stop fuel exhaust frequent flier noth inconveni,7
109,virginamerica someth wrong websit safari iphon,8
110,virginamerica alreadi check page expir x,1
111,virginamerica boo refund seat upgrad fee want buy first place,17
112,virginamerica move seat notic better seat cabin select behind row select disappoint,8
113,virginamerica alreadi contact central baggag amp sent dm renttherunway charg dress lost suitcas help,13
114,virginamerica anyth go websit ive get lot error past 30 minut,3
115,virginamerica virginatlant check flight sfo lax amp told atlant fli club gold get benefit,5
116,virginamerica husband order three drink via screen never came awesom,1
117,virginamerica soooo guy go leav seatbelt light flight bare call turbul,17
118,virginamerica funni stori websit broken miss javascript stylesheet checkin process dislik,16
119,virginamerica im tri check 1050am ct flight tmm desktop websit work sort cach bug so,3
120,virginamerica guy know checkin link email broken,17
121,virginamerica lost luggag 4 day ago flight vx 112 lax iad amp im call everi day responsepleas give back stuff,13
122,virginamerica flight book problem section websit seem broken chrome might wan na look,5
123,virginamerica look like broken link asset,5
124,virginamerica manag itinerari section websit seem broken,11
125,virginamerica cant check site look like everi time load,5
126,virginamerica carrier less half price round trip fare stun,3
127,virginamerica wtf happen pdx late flight march one way sfo 550,6
128,virginamerica luggag gone ive file paperwork promis callemail still resolut respons central luggag,13
129,virginamerica request mileag challeng statu sever week ago onlin havent heard back get help,6
130,virginamerica tri book ticket nyc face super fun broken style dont worri ill keep tri,6
131,virginamerica appli statu match feb 1 got confirm email day still news though guy drop ball late flightli,15
132,virginamerica tri checkinbut look like site,5
133,virginamerica spend birthday night daldca get home,0
134,virginamerica sent coupl messag email provid avail tri next year cheer,17
135,virginamerica serious though direct flight sfofll may,6
136,virginamerica fine alreadi done purchas tri go way go back 3,13
137,virginamerica realli experi hope 4 ws forc 2 check small carri w noth empti cabin space board,5
138,virginamerica wjere luggag slow lax,1
139,virginamerica spoke repres offer solut loyal custom fli virginatlant well,17
140,virginamerica deepli disappoint birthday promo appli trip book mere day receiv email,6
141,virginamerica happen direct flight sfofll look may see connect help dontdothistom,6
142,virginamerica 2d 3d emboss badg patch superior one current use,1
143,virginamerica vx399 jfk la dirti plane standard,18
144,virginamerica flight vx399 head la jfk dirtiest va plane ever sad great airlin,5
145,virginamerica avi rental continu button doesnt work websit book car tri 4 time phone suck,0
146,virginamerica delay to1030,18
147,virginamerica current minut 10 hold cust servic need anyth add lap child reserv,11
148,virginamerica comen bank joke pleas chang noth constant problem bank,0
149,virginamerica submit statu match request back still havent heard im fli monday look acceler,6
150,virginamerica im pull hair tri book flight u site doesnt work iphon ipaddont comput help,6
151,virginamerica get help support ticket 15 day incid 150202000419 thank,13
152,virginamerica even open laptop seat 4c paid premium let,17
153,virginamerica seat 4c even open laptop paid extra seat,17
154,virginamerica fyi infovirginamericacom email address say contact password reset email doesnt exist email bounc,3
155,virginamerica statu match 2 week gone newsflt next week hope flt count toward requir cust svc help,15
156,virginamerica websit suck donkey dick thought know best,5
157,virginamerica crap channel pay watch uk tv,5
158,virginamerica come dont iphon app still use make wast paper,8
159,virginamerica back seat entertain system accept credit card apostroph surnam apostrophefail,6
160,virginamerica vx use 6 lga slot instead 4 today ad au make less like,5
161,virginamerica sad learn longer fli sfo gt phl hope return,0
162,virginamerica kinda suck earphon jack didnt work flight may want look futur passeng,5
163,virginamerica poor experi first comput problem seat malfunct stuck miss meet san diego,8
164,virginamerica tri offer charg addit 1k new ticket strand thur 1st time last time,6
165,virginamerica never bad experi one took cake extort carri item well,1
166,virginamerica spend 5 hour worri item carryon would brokenstolen sinc couldnt carri plane lock bag,2
167,virginamerica group e told room bin got plane room least 4 bag row,17
168,virginamerica thank make flight lax jfk nightmar forc check carri bag gate 1,5
169,virginamerica lot flight book site work ive phone wait 10 minut,6
170,virginamerica take 12 year fli home dalla get shit togeth,3
171,virginamerica man steel fli citi thoughand frequenc,1
172,virginamerica start flight scold use overhead bin offer person seat next,17
173,virginamerica airlin werent cancel flight flight bo help custom get home virgin say good luck,0
174,virginamerica group virgin other bo weather expos actual cu serv model never flight book problem virgin,0
175,virginamerica one travel affect boston storm im shock virgin complet apathi toward custom,2
176,virginamerica umm reason someon differ contact contact get definit answer,2
177,virginamerica tri make chang advanc 24 hour priortri onlin earlier want 300 chang fee,0
178,virginamerica mood light point reclin seat kickin feet,17
179,virginamerica flight 6000 schedul 1pm departur still say time plane gate updat long delay,18
180,virginamerica group got cancel flightlat fee waiv cant ticket book 218 rep help either,6
181,unit still refund word via dm pleas resolv issu cancel flightl flight useless assist trip,0
182,unit delay due lack crew delay there long line deic still need improv servic unit,18
183,unit eriord express connect huge popular could eriewr hop,16
184,unit think board flight au1066 earli think,7
185,unit gate agent hook altern flight way prevent constant issu would rock,16
186,unit worst nonrefund first class ticket oh select globalfc system auto select economi wupgrad,0
187,unit cheertymedad buy tix 3 day flight cant transfer tix flaw secur logic flaw custom servic,3
188,unit start claim 810 week unrealist realli suppos go long car seat childridicul,8
189,unit car seat lost unit reimburs new one pair shoe necess child,1
190,unit highbuddyyi total suck cousin work phl said unit,3
191,unit begin feb call unit said would send anoth voucher mail never got anyth tiredofwait,16
192,unit internet great thing email execut compani mayb respond time manner,17
193,unit that weak see ya hey virginamerica,3
194,unit flew back w compani sinc unit didnt earlier flight,3
195,unit tri book award septemb need flight aegeanairlin show even w mani award seat availab,6
196,unit sure drive total 3 hour get bag id like explain debacl one want talk,2
197,unit see told repeatedli pilot late flight kept get late flightr board defibril issu,2
198,unit prefer secur line anymor tsa precheck didnt pull silverairway partner flight platinum spoil,16
199,unit newarkliberti airport need indic differ gate termin aampc flyingainteasi,0
200,unit ye pleas newli marri tri updat last name preexist intern flight seem easi,16
201,unit unit refus reissu 400 lost voucher plane didnt take due mechan badcustomerservic,18
202,unit also run instruct shatter comput,3
203,unit ye weve agent last 50 minut one agent rude thank ladan nice,3
204,unit iah charlott baggag claim rep latric h customerservic non exist ignor custom inappropri touch custom,3
205,unit uctraveladvisor would love respond websit saw realli long form busi new seat bad,12
206,unit refund flight voucher anoth flight differ airlin expens today 8 hour drive inconveni,0
207,unit receiv call back 3 daysit infant car seat suppos go anywher child,6
208,unit well sit ground time wait gateagain tiredofthi,8
209,unit need guy book plane concern ill travel someon els move forward,3
210,unit measli 50 ecertif appreci loyal custom wait 3hr tarmac ua1116 unaccept,6
211,unit email addressusernam signon avail,3
212,unit rude rude,3
213,unit cant get board pass austrian airlin codeshar flight rebook incl 6 hour layov amp stuck outsid sec,0
214,unit receiv flight unit truli break guitar unitedbreaksguitar wantmymoneyback,16
215,unit flew telaviv paid 100 third suitcas didnt even make plane besid impolit servic,7
216,unit bag still colo spring disabl search unfamiliar airport look bag good outcom,13
217,unit shame there flex ticket transfer rule even call neurosurgeri icu isnt enough,0
218,unit denver said dont handl baggag made colo spring gave 800 number call help either,3
219,unit guy need seriou train custom servic mani better option put way guy handl ur mistak,17
220,unit found problem avoid like plagu told cant find supervisor,5
221,unit zcc82u cancel flight flight 16h advanc need connect flight reschedul link isnt help help gf wait month see,6
222,unit fli,3
223,unit addit first flight delay hour im arriv destin 8 hr late flight,6
224,unit travel book thru unit group dept okc ticket agent less will help connect lax,3
225,unit v upset disabl servic told one employe carri medic equip rude,16
226,unit thnx quick repli dont think assist intl grp put consider inconveni today,3
227,unit wont transfer flight ticket accompani 11 yr old who activ militari mom emerg brain surgeri wow,0
228,unit getmeontop 7 week late flightr still receiv mile mileageplu gift card 150 starbuck card hand,2
229,unit 1k im alway hope improv,3
230,unit yet complain guy check luggag throw bag around unfortun coincid hope,13
231,unit okc ticket agent roger mclarrensp less help intl group travel problem cant find supervisor help,3
232,unit mobil app need construct ground os categori expens get right,3
233,unit anoth fail unit ticket agent okc less help could care less problem american come,3
234,unit sent email custom care tell may break sincer hope help,3
235,unit silli im fli delta today unit club staff attend surli unhelp alway seem bother peski folk,3
236,unit phone number cant find call flight reserv,17
237,unit well cant fix miss buddi 30th bday neglig attempt make,16
238,unit believ help custom servic couldnt like said want number someon fix,3
239,unit help baggag servic desk said bc tsa screen fll bag made bag ewr 12,13
240,unit mobil board pass disappear phone stand line board second time week hmm,6
241,unit explain eager flight attend tri ask vision ccicanin guid dog,0
242,unit what point ask detail servicedog book flight crew doesnt read continu,6
243,unit tri one avail bogota everyon rude houston stuck 35 hour guy,6
244,unit worst2unitedflightsev ua 236 la iad 224 mechan problem took land fix delay wtfodd,18
245,unit what go ua 236 outbound flight last thur delay 4hr long delay worst2unitedflightsev,18
246,unit worst2unitedflightsev ua1429 iad la 219 mechan problem switch aircraft delay 35 hour,18
247,unit crash tri check,3
248,unit 768 logan board gong show due lax carri enforc bin full coat room bag u need better system,5
249,unit blackmail pay 130 extra return ticket nullifi san francisco airport terribl servic rep scam,16
250,unit disappoint u didnt honor 100 credit given ur mistak take busi elsewher,3
251,unit ua1673 still wait suppos depart 908,2
252,unit credit last trip never came mail,3
253,unit ok 7 month wait hear airlin gave quit bit 30 day request terribl servic,3
254,unit process ever end still wait repli sinc 2 month pathet customerservic,5
255,unit what go websit im flight book problem three ticket today ive boot system umpteen time,6
256,unit get account number websit say email unavail,17
257,unit receiv 1 bag last night still miss one,16
258,unit simonroesn youll need upgrad seat even economi plu like sit concret bench,17
259,unit 2nd flight also delay pilot board sit schedul,6
260,unit hard stay upset someon least tri show remors,3
261,unit way simpl apolog goe long way even hollow one obviou dont care wellb,17
262,unit isnt one time thing either shock pattern repeat neglect disrespect,1
263,unit finger cross amp intact disappoint experi actual say enjoy use,3
264,unit incred easi fix would rather stay comfort zone get forc mine,16
265,unit juli zero excus outofd system caus problem like,5
266,unit everyon around us sit friend famili member book ticket octob decemb bought,3
267,unit sure talk go nonstop flight sna sfo sfo ewr,0
268,unit im move americanair unit talk servic,3
269,unit ask legitim question systemwid vs local problem got back unrel flightd copypast better,6
270,unit time call need ski go airport get faith unit,0
271,unit see guy amaz one compani continu make mistak yet fail held account error,3
272,unit yeah sorri there alway problem unit intern reput problem,16
273,unit mayb bbbne_sd_ks_ia would care hear went whoever listen issu caus,16
274,unit wonder share fb insta would produc number 140 charact realli limit stori tell,3
275,unit your tell number call left airport neglig pilot staff,3
276,unit could email resent doesnt appear arriv,3
277,unit follow order dmcome,1
278,unit 25 unit coupon make broken entertain system 9hour flight serious ridicul learncustomerservic,6
279,unit didnt drop bag overnight amp im leav week suppos hold bag,2
280,unit dm detail still respons book today,3
281,unit abl dm confirm number,13
282,unit ive sent messag let know got im twitterliter also realli go stuck 18hr,13
283,unit unhappi respons complaint email 2nd feb ref8441639 aw custom servic,3
284,unit given option use unit travelbank recent flight book problem help use recoup fund thank,8
285,unit common keep paper work readi dont delay flights1585and meet choosechicago,11
286,unit yep that correct got email 1230 flight cancel flightl doesnt matter flight atl delay thx,6
287,unit 1k problem get fll iah sent dm make connect pleas let know,13
288,unit im ground montreal ua3659 miss connect ua3417 st loui helpdo privat jet,14
289,unit im frustrat nervou,3
290,unit one make difficult,0
291,unit im child im someon issu fli prepar ahead time reduc distress caus plane,2
292,unit get cancel flightl 10 hour take,0
293,unit alway happen guy make travel incred stress uncomfort good busi,3
294,unit someon sever anxieti one person help isnt next,17
295,unit im seek go 2 client bc u cant get need refund fill form confid work past indic,3
296,unit luckili made flight time disappoint lack commun,16
297,unit check see flight 3466 atlord got cancel flight,6
298,unit servic far horrid want end trip high note guess that option,3
299,unit book flight home 7 month ago request seat togeth fiancé got 2 middl seat unaccept,6
300,unit guy horribl,3
301,unit pay 17 wifi intern busi ticket pennypinch,3
302,unit ok top thing youv lost luggag could get wors unitedairlin,13
303,unit luggag broken youcouldntmakethi brokenwheel,13
304,unit mayb one day youll one quot,1
305,unit flight delayedno one rememb turn heat flight 559 leav ordseri,6
306,unit speak real person get resolv polit effici 22,3
307,unit hadnt file refund claim told charg dm disput bank henc would like12,6
308,unit bag make flight iad second day without cloth pretti inconveni pretti curiou unitedairlin,13
309,unit henc ive ask custom servic phone number speak real person get sort,3
310,unit bag leav washington yet would conveni see left day ago unitedairlin lostluggag,13
311,unit accord dm im owe refund pleas may provid contact number go bank file claim,3
312,unit 3 hour ago need work bag make hotel time need go elsewher,2
313,unit pl properli train agent request speak 1k custom servic amp transfer dead end even open hr,3
314,unit thank rememb load bag onto connect flight oh wait forgot iceland fun cloth,5
315,unit custom servic atroci disrupt travel plan lost luggag imposs talk human,3
316,unit termin mia food open 5am esp flight 6am two hour earli like recommend cant eat,17
317,unit ua flight 1001 im current stuck portland miss ride 3 hour delay getmartyhom,16
318,unit respond variou request contact number anyon know uk custom servic number unitedairlin,3
319,unit look get bag lusaka,3
320,unit could updat suitcas pleas onlin phone track told noth told id back yesterday,0
321,unit 1 last thing u guy shouldnt charg drink transatlant flight,6
322,unit lhr arriv loung fail wait 20 min shower left find hotel u know mani passeng u carri plan,17
323,unit complet form doubt use ua doesnt care 6 day vacat 5 sure ua wont feel respons,3
324,unit nope told us time go home sleep airport even though assur us would get room,2
325,unit back expens holiday work year pay ruin want compens amp origin case back,6
326,unit thank unit understand would actual like bag back done also want money,3
327,unit frankli wors custom servic ever problem happen deal defin compani never unit,3
328,unit still valid flight seem strang delay late flight inbound crew 7 hour plane alreadi,18
329,unit thank lack help can respons 1k desk,3
330,unit bad ua anoth unforese oper issu return flight,16
331,unit pay 25 35 luggag deliv arriv wait 3 addit day deliveri,13
332,unit 8 hotel 32 peopl feel like held hostag someon board pass cant leav fail,2
333,unit outbound 2 bag 70 lb bag return home 1 bag 50 lb logic write machin human help requir,3
334,lindaswc unit dont like hear poor experi pleas share detail wour custom care team,3
335,unit cancel flightn left us fend flt came late flight get runaround 3 hr employe blame previou 1,17
336,unit okay ase24766m find luggag,3
337,unit agent met us gate said issu wdelay ua1116 would taken onlin,16
338,unit ladi one phone say tel aviv tel aviv unit say newark one know noth,17
339,unit ye still answer mani luggag 3 day unaccept,13
340,unit go noth like alway,3
341,unit plu food taxi,17
342,unit offer us 8 room 32 peopl fail,17
343,unit 32 peopl get pretti tire action solv problem plu miss day vacat ski,2
344,unit bright side would keep promis made hope your good night thank,3
345,unit take back comment team work hard help us far solut hotel food anyth fail,17
346,unit 4124 arriv two hour late flight clt sit tarmac move plane gate unhappi custom,2
347,unit airlin absolut worst idea neveragain unitedairlin,0
348,unit thank might want fix line custom care team current respond inquiri within 710 busi day,13
349,unit frustrat frequent flyer loyal sinc continent upgrad equal pay 3 time top purchas ticket,7
350,unit wors cant figur pack plane screw connectn claim hotl room san fran strand pax way go,17
351,unit 4 passeng 2 hour delay flight left hotel end night hou airport wtf,2
352,hey unit flight iah po leav late flight one back iah earli rather get po earlier,6
353,unit lost bag process broken agent promis theyd call amp hold bag found theyr wake 3am w deliveri fail,13
354,unit peopl counter help see nobodi flight austin 1055 still sit,2
355,unit darquenlov regret hear pleas let us know need assist kn final abl secur seat thx,3
356,unit good know open close door premier passeng safeti brief delay flight annoy,17
357,unit yea get phoenix alreadi delay day peopl bullshit,13
358,unit consol staff stellar hour delay encount everi one 4 flight,18
359,unit that unfortun tumitravel xma gift look like razor rip right front pocket pictur,19
360,unit lost bag cancel flightl flight delhi call center poor unit staff spread thin stress name,16
361,unit ye doesnt make mistak less absurd doesnt chang fact im inconveni miss luggag tonight,3
362,unit im constantli challeng upgrad amp charg order prevent dvt pay addtl 180,6
363,unit ord wait 20 min crew member left gate item came flight attend sarcast said good luck walk away,2
364,unit serious fail make stranger share room,5
365,unit need asap make today flight,3
366,unit agent split reserv cant cancel flight refund credit 2wk,17
367,unit would make share room,3
368,unit tri call w25 min phn wait mean wed miss option anyway,6
369,unit ask guy flight 1146 bwi wait us get delay flight san diego pretti pleas,6
370,unit still wait find rep work hard upset wait tomorrow pm get mammoth,3
371,unit earli flt think call appropri ye review nada avail next day expect full refund,17
372,unit ask call get fix tweet bs question stall make thing wors phone number pleas,17
373,unit yo yo yo stuck tarmac 2 hour fly2ohar go miss ride flypdx help pleas helpimstuck unit,3
374,unit highli unprofession overbook flight 12 seat ampfeel rearrang schedul mismanag,13
375,unit well consid everi agent claim unabl help everyth els wast time hear call corp,8
376,unit ice total understand larg number us face 15 hour time overnight cancel flightat seem like,2
377,unit flt 1249 cancel flightl get email 330 happen courtesi phn call book diff airlin amp citi,6
378,unit tag number 0016 964012 0016 964077 0016 964078 let find bag,17
379,unit better train support staff appropri decorum consid revisit terribl provid death certif polici,3
380,unit well bar set low guy realli good apolog game chang u guy learn,17
381,unit way make phone call need handl via twitteremailweb thank,6
382,unit websit deserv new design html5 ftw,1
383,unit thank ef holiday miss full day ski due baggag team incompet flyyow,18
384,unit agent help person front finish walk away guy behind shock,2
385,unit connect ord exact plane check carryon appar taken amp left chicago pretti ridicul,2
386,unit encourag ill cpap tonight,3
387,unit ye file claim soon carousel stop without bag got email found sched deliveri,13
388,unit delay dencl manual enter baggag tag realli worst cust servic day 1ker friendlyski,15
389,unit tell us flight delay tell us time 20 min spare dont say delay unless your sure,3
390,unit ye lusaka zambia guess bag never made plane iad,3
391,unit late flight denver late flight newarklet even get disast check bag unaccept,2
392,unit let dont think ive ever flown problem worst airlin period,5
393,unit ye file claim amp hope receiv luggag 2am ridicul purchas item go sleep amp reimburs,3
394,unit ua938 ordlhr bag load 30min late flight frigid air cabin plane feel like fall apart upgrad long haul fleet,2
395,unit flight attend never serv beverag tea check give ua6076 notcool,0
396,unit load balanc system appar systemwid major impact unit airlin flight cyberattack,6
397,unit unschedul refuel stop miss 2 connect flight r home n look 4ward bed big pbampj sandwich,19
398,unit americanair spent hundr rectifi situat guy go quiet,3
399,unit ua276 sit ewr nearli hour sked pilot say comput clue leav help,2
400,unit americanair that end come travel liter extra day half,3
401,unit receiv luggag also look left snow arriv im ask 50 peopl refund,3
402,unit updat a320 aircraft wifi devic entertain outlet dont get charg devic,6
403,unit one scan insid plane ask peopl line around plane go,2
404,unit 5 gate chang two delay even crew think airlin suck,0
405,unit im frustrat wast 2 day due equip failur,8
406,unit comput stop give updat took flight info app that ridicul keep peopl updat,6
407,unit soooo 15 day youv offer respons assum poor treatment gate agent norm,3
408,unit call 800 result 2hr hold time amp 2day wait check suspect code share fare noth investigatedmi time wast 22,8
409,unit taken 3 week cust care respond case 8477733 request refund wifi work get updat,3
410,unit that correct spent hour tri book onlin receiv error click final purchas button 12,6
411,unit today finest could prevent one gate agent advis 200 passeng,6
412,unit real deal delay flight ua 1032 denver vega,3
413,unit ua63 madrid arriv agent mass confus sent fro 3 ua employe maryjo rude unhelp,3
414,unit system failur bad trend softwar project like fli airplan there thing emerg takeoff,12
415,unit lot report system failur delay flight last week current sit tarmac ogg hour,6
416,unit howev complet controlth price still display,9
417,unit tell file claim cloth purchas,3
418,unit comic return flight ase two unit flight board adjac gate clear plane board,2
419,unit grk13575m file refer,10
420,unit wouldhow contact discuss poor experi custom servic would give shot,3
421,unit ua 746 pacif rim date night cut constantli randomli one spot repeat,1
422,unit tri sinc 1230 file report,6
423,unit send email bad experi send back gener respons yet anoth reason ill never fli,3
424,unit ticket 0162424965446 pleas refund unnecessari upgrad fee,17
425,unit horribl lost carseat expect us use loner carseat safeti regul say illeg use use car seat,8
426,unit dont care thehipmunk link show wrong price siteit site amp respons ensur correct,3
427,unit need get home 24th theyr tell itll 25th night compens anyth done,3
428,unit mllovelac baggag fee waiv premier member pleas see jp what point membership,17
429,unit wonder bag claim peopl final bag catch earlier flight origin flight land wastedtim,2
430,unit dmed thank,3
431,unit 3 day late flightr bag left iad unit help everyon tell differ stori,2
432,unit lose gate check bag den ord direct flight ugh,6
433,unit caught earlier flight ord gate check bag youv lost ohar origin flight land 20minut frustrat,13
434,unit pleas follow dm miss bag,13
435,unit left item plane call non stop one answer pleas help,2
436,unit what good number call speak someon fix 50 peopl luggag saturday,3
437,unit where damn bag,13
438,unit well someon tell employe denver baggag claim still bag,13
439,unit divert miss connect flight told bag way msi peopl care,2
440,unit male agnt la threaten canadian cust cust take pic gate agent announc cant help rebook friendlyski,8
441,unit apollochplay want go home tonight cancel flight last leg reserv wout permiss ph6rp,17
442,unit stress rude agent overwhelm delyd flight lasden 1657 yell sever peopl pretti friendlyski,8
443,unit land boston 9 last night 15 hour travel rough tho,5
444,unit fail cancel flightl flight frm gjt use reserv home iah sea reflight book problem wout permiss ph6rp,5
445,unit made fli list airlin wait connector late flight stuck iah,6
446,unit also mere fact go onlin issu statement vice call talk directli one good exampl,3
447,unit weekend deal compani would say otherwis,3
448,unit flight gone got plane businesstravel goodenoughmoth,6
449,unit proper respons sorri wait flight look issu that delta would handl,6
450,unit custom servic terribl stood inlin 3 hour flight 4 hour late flightr still bagdisgutedindenv,2
451,unit inadequ accid,3
452,unit board time show 35 min gate agent start 45 show 400 check bag,3
453,unit agent la let 20 custom know cant help rebook delay flight den unfriendlyski,3
454,unit empath w disappoint 1stclass flight wnonwork entertainmnt worth 50 unfriendlyski,6
455,unit doesnt work,3
456,unit search mileag ticket bom couldnt find singl one saver award see play earn mile cant use,6
457,unit flight arriv 30 minut earli wait hour bag,2
